id,name,entity,iso_code,gwno,slug,region.id,region.name,Tracker,Country,tracker_slug,base_url,tracker_url,timeline_url,process_url,actors_url,impacts_url,sub-region_geo,region_geo,central_longitude,central_latitude,country_geo,con_name_geo,search_pax
5,Afghanistan,False,AFG,700,afghanistan,4,Europe and Eurasia,1.0,Afghanistan,afghanistan,https://www.peaceagreements.org/tracker/,https://www.peaceagreements.org/tracker/afghanistan,https://www.peaceagreements.org/tracker/timeline/afghanistan,https://www.peaceagreements.org/tracker/process/afghanistan,https://www.peaceagreements.org/tracker/actors/afghanistan,https://www.peaceagreements.org/tracker/impacts/afghanistan,Southern Asia,Asia,66.02471,33.83114,AFG,Afghanistan,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=5&match_any_issues=True&name=&text=&signed_after=&signed_before=
8,Algeria,False,DZA,615,algeria,5,Middle East and North Africa,,,,,,,,,,Northern Africa,Africa,2.679966,28.14411,DZA,Algeria,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=8&match_any_issues=True&name=&text=&signed_after=&signed_before=
9,Angola,False,AGO,540,angola,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,17.54534,-12.2937,AGO,Angola,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=
11,Argentina,False,ARG,160,argentina,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-65.0715,-35.4958,ARG,Argentina,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=11&match_any_issues=True&name=&text=&signed_after=&signed_before=
12,Armenia,False,ARM,371,armenia,4,Europe and Eurasia,,,,,,,,,,Western Asia,Asia,44.94022,40.29308,ARM,Armenia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=12&match_any_issues=True&name=&text=&signed_after=&signed_before=
16,Azerbaijan,False,AZE,373,azerbaijan,4,Europe and Eurasia,,,,,,,,,,Western Asia,Asia,47.52871,40.29016,AZE,Azerbaijan,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=16&match_any_issues=True&name=&text=&signed_after=&signed_before=
161,Bahrain,False,BHR,692,bahrain,5,Middle East and North Africa,,,,,,,,,,Western Asia,Asia,50.56443,26.05186,BHR,Bahrain,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=161&match_any_issues=True&name=&text=&signed_after=&signed_before=
17,Bangladesh,False,BGD,771,bangladesh,3,Asia and Pacific,,,,,,,,,,Southern Asia,Asia,90.28845,23.80467,BGD,Bangladesh,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=17&match_any_issues=True&name=&text=&signed_after=&signed_before=
20,Bosnia and Herzegovina,False,BIH,346,bosnia-and-herzegovina,4,Europe and Eurasia,1.0,Bosnia and Herzegovina,bosnia-and-herzegovina,https://www.peaceagreements.org/tracker/,https://www.peaceagreements.org/tracker/bosnia-and-herzegovina,https://www.peaceagreements.org/tracker/timeline/bosnia-and-herzegovina,https://www.peaceagreements.org/tracker/process/bosnia-and-herzegovina,https://www.peaceagreements.org/tracker/actors/bosnia-and-herzegovina,https://www.peaceagreements.org/tracker/impacts/bosnia-and-herzegovina,Southern Europe,Europe,17.78525,44.16825,BIH,Bosnia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=20&match_any_issues=True&name=&text=&signed_after=&signed_before=
22,Burundi,False,BDI,516,burundi,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,29.92644,-3.3223,BDI,Burundi,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=22&match_any_issues=True&name=&text=&signed_after=&signed_before=
