actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc
0,CON_0,Bosnia and Herzegovina,Country/State,,,,BIH,Bosnia and Herzegovina,346.0,Europe,,,,,,50.0,Government of Bosnia-Herzegovina,https://ucdp.uu.se/actor/50,Government of Bosnia and Herzegovina (2018-),,Bosnia and Herzegovina is a Country/state in Europe.
1,CON_1,Croatia,Country/State,,,,HRV,Croatia,344.0,Europe,,,,,,48.0,Government of Croatia,https://ucdp.uu.se/actor/48,Government of Croatia (2016-),,Croatia is a Country/state in Europe.
2,CON_2,Germany,Country/State,,,,DEU,Germany,255.0,Europe,,,,,,37.0,Government of Germany,https://ucdp.uu.se/actor/37,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-),Germany is a Country/state in Europe.
3,CON_3,United States,Country/State,,,,USA,United States,2.0,Americas,P5,,,,,3.0,Government of United States of America,https://ucdp.uu.se/actor/3,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),United States is a Country/state in Americas. They are a permanent member of the UN Security Council.
4,CON_4,Spain,Country/State,,,,ESP,Spain,230.0,Europe,,,,,,35.0,Government of Spain,https://ucdp.uu.se/actor/35,Government of Spain (2020-),,Spain is a Country/state in Europe.
5,IGO_5,European Union,Intergovernmental Organization,Regional,,EU,,,,Europe,,,1.0,,,,,,,,European Union (EU) is an regional intergovernmental organization based in Europe.
6,CON_6,Central African Republic,Country/State,,,,CAF,Central African Republic,482.0,Africa,,,,,,86.0,Government of Central African Republic,https://ucdp.uu.se/actor/86,Government of the Central African Republic (2016-),Government of the Central African Republic (2003-2013) | Government of the Central African Republic (2014-2016) | Government of the Central African Republic (2016-) | Government of the Central African Republic (1993-2003),Central African Republic is a Country/state in Africa.
7,CON_7,France,Country/State,,,,FRA,France,220.0,Europe,P5,,,,,33.0,Government of France,https://ucdp.uu.se/actor/33,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,France is a Country/state in Europe. They are a permanent member of the UN Security Council.
8,IGO_8,UN Security Council,Intergovernmental Organization,,,UNSC,,,,,United Nations,1.0,,,,,,,,,UN Security Council (UNSC) is an office of the United Nations.
9,CON_9,Argentina,Country/State,,,,ARG,Argentina,160.0,Americas,,,,,,26.0,Government of Argentina,https://ucdp.uu.se/actor/26,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-),Argentina is a Country/state in Americas.
10,CON_10,Netherlands,Country/State,,,,NLD,Netherlands,210.0,Europe,,,,,,30.0,Government of Netherlands,https://ucdp.uu.se/actor/30,Government of the Netherlands (2010-),,Netherlands is a Country/state in Europe.
11,CON_11,Canada,Country/State,,,,CAN,Canada,20.0,Americas,,,,,,4.0,Government of Canada,https://ucdp.uu.se/actor/4,Government of Canada (2015-),,Canada is a Country/state in Americas.
12,CON_12,Malaysia,Country/State,,,,MYS,Malaysia,820.0,Asia,,,,,,152.0,Government of Malaysia,https://ucdp.uu.se/actor/152,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-),Malaysia is a Country/state in Asia.
13,CON_13,Namibia,Country/State,,,,NAM,Namibia,565.0,Africa,,,,,,103.0,Government of Namibia,https://ucdp.uu.se/actor/103,,,Namibia is a Country/state in Africa.
14,CON_14,Slovenia,Country/State,,,,SVN,Slovenia,317.0,Europe,,,,,,51.0,Government of Slovenia,https://ucdp.uu.se/actor/51,Government of Slovenia (2018-),,Slovenia is a Country/state in Europe.
15,CON_15,Brazil,Country/State,,,,BRA,Brazil,140.0,Americas,,,,,,22.0,Government of Brazil,https://ucdp.uu.se/actor/22,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-),Brazil is a Country/state in Americas.
16,CON_16,Gambia,Country/State,,,,GMB,Gambia,420.0,Africa,,,,,,71.0,Government of Gambia,https://ucdp.uu.se/actor/71,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-),Gambia is a Country/state in Africa.
17,CON_17,Gabon,Country/State,,,,GAB,Gabon,481.0,Africa,,,,,,85.0,Government of Gabon,https://ucdp.uu.se/actor/85,Government of Gabon (2009-),,Gabon is a Country/state in Africa.
18,CON_18,Bahrain,Country/State,,,,BHR,Bahrain,692.0,Asia,,,,,,126.0,Government of Bahrain,https://ucdp.uu.se/actor/126,Government of Bahrain (1999-),,Bahrain is a Country/state in Asia.
19,CON_19,United Kingdom,Country/State,,,,GBR,United Kingdom,200.0,Europe,P5,,,,,28.0,Government of United Kingdom,https://ucdp.uu.se/actor/28,Government of the United Kingdom (2010-),,United Kingdom is a Country/state in Europe. They are a permanent member of the UN Security Council.
20,CON_20,China,Country/State,,,,CHN,China,710.0,Asia,P5,,,,,135.0,Government of China,https://ucdp.uu.se/actor/135,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region,China is a Country/state in Asia. They are a permanent member of the UN Security Council.
21,CON_21,Russia,Country/State,,,,RUS,Russia,365.0,Europe,P5,,,,,57.0,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia is a Country/state in Europe. They are a permanent member of the UN Security Council.
22,CON_22,Yugoslavia,Country/State,,,, ,Yugoslavia,345.0,Europe,,,,,,,,,,,Yugoslavia is a Country/state in Europe.
23,POL_23,Progress Party of Gabon,Political Party,,,PGP,GAB,Gabon,481.0,Africa,,,,,,,,,,,Progress Party of Gabon (PGP) is a Political Party based in Gabon.
24,POL_24,People’s Socialist Emancipation Movement,Political Party,,,MESP,GAB,Gabon,481.0,Africa,,,,,,,,,,,People’s Socialist Emancipation Movement (MESP) is a Political Party based in Gabon.
25,POL_25,African Forum for Reconstruction,Political Party,,,FAR,GAB,Gabon,481.0,Africa,,,,,,,,,,,African Forum for Reconstruction (FAR) is a Political Party based in Gabon.
26,POL_26,National Recovery Movement,Political Party,,,MORENA,GAB,Gabon,481.0,Africa,,,,,,,,,,,National Recovery Movement (MORENA) is a Political Party based in Gabon.
27,POL_27,Democratic & Republican Alliance,Political Party,,,ADERE,GAB,Gabon,481.0,Africa,,,,,,,,,,,Democratic & Republican Alliance (ADERE) is a Political Party based in Gabon.
28,POL_28,Independent Centre Party of Gabon,Political Party,,,PGCI,GAB,Gabon,481.0,Africa,,,,,,,,,,,Independent Centre Party of Gabon (PGCI) is a Political Party based in Gabon.
29,POL_29,Democratic Justice Congress,Political Party,,,CDJ,GAB,Gabon,481.0,Africa,,,,,,,,,,,Democratic Justice Congress (CDJ) is a Political Party based in Gabon.
30,POL_30,Democratic Party of Gabon,Political Party,,,PDG,GAB,Gabon,481.0,Africa,,,,,,,,,PDG: Gabonese Democratic Party,,Democratic Party of Gabon (PDG) is a Political Party based in Gabon.
31,POL_31,Social Democratic Party,Political Party,,,PSD,GAB,Gabon,481.0,Africa,,,,,,,,,,,Social Democratic Party (PSD) is a Political Party based in Gabon.
32,POL_32,United People’s Party,Political Party,,,PUP-CRISE,GAB,Gabon,481.0,Africa,,,,,,,,,,,United People’s Party (PUP-CRISE) is a Political Party based in Gabon.
33,POL_33,Liberal Reform Convention,Political Party,,,CLR,GAB,Gabon,481.0,Africa,,,,,,,,,,,Liberal Reform Convention (CLR) is a Political Party based in Gabon.
34,POL_34,National Assembly of Foresters,Political Party,,,RNB,GAB,Gabon,481.0,Africa,,,,,,,,,,,National Assembly of Foresters (RNB) is a Political Party based in Gabon.
35,POL_35,Gabon People’s Union,Political Party,,,UPG,GAB,Gabon,481.0,Africa,,,,,,,,,,,Gabon People’s Union (UPG) is a Political Party based in Gabon.
37,POL_37,Radical Independent Republican Party,Political Party,,,PARI,GAB,Gabon,481.0,Africa,,,,,,,,,,,Radical Independent Republican Party (PARI) is a Political Party based in Gabon.
38,POL_38,Gabon Association for Socialism,Political Party,,,APSG,GAB,Gabon,481.0,Africa,,,,,,,,,,,Gabon Association for Socialism (APSG) is a Political Party based in Gabon.
39,POL_39,Unity People’s Party,Political Party,,,PUP,GAB,Gabon,481.0,Africa,,,,,,,,,,,Unity People’s Party (PUP) is a Political Party based in Gabon.
40,POL_40,Socialist Union of Gabon,Political Party,,,USG,GAB,Gabon,481.0,Africa,,,,,,,,,,,Socialist Union of Gabon (USG) is a Political Party based in Gabon.
41,CON_41,Benin,Country/State,,,,BEN,Benin,434.0,Africa,,,,,,1209.0,Government of Benin,https://ucdp.uu.se/actor/1209,Government of Benin (2016-),Government of Benin (2006-2016) | Government of Benin (2016-),Benin is a Country/state in Africa.
42,CON_42,Congo,Country/State,,,,COG,"Congo, Republic of the",484.0,Africa,,,,,,88.0,Government of Congo,https://ucdp.uu.se/actor/88,Government of the Republic of Congo (1997-),,Congo is a Country/state in Africa.
43,IGO_43,Organization of African Unity,Intergovernmental Organization,Regional,,OAU,,,,Africa,,,1.0,,,,,,,,Organization of African Unity (OAU) is an regional intergovernmental organization based in Africa.
44,CON_44,Guinea ,Country/State,,,,GIN,Guinea,438.0,Africa,,,,,,77.0,Government of Guinea,https://ucdp.uu.se/actor/77,Government of Guinea (2021-),Government of Guinea (2010-2021) | Government of Guinea (2021-),Guinea  is a Country/state in Africa.
45,CON_45,Georgia,Country/State,,,,GEO,Georgia,372.0,Asia,,,,,,63.0,Government of Georgia,https://ucdp.uu.se/actor/63,Government of Georgia (2012-),,Georgia is a Country/state in Asia.
46,ENT_46,Abkhazia,Entity,,,,GEO,Georgia,372.0,Asia,,,,,,,,,,,Abkhazia is an entity (Georgia).
47,ENT_47,North Caucasian,Entity,,,,RUS,Russia,365.0,Europe,,,,,,,,,,,North Caucasian is an entity (Russia).
48,IGO_48,Conference on Security and Cooperation in Europe,Intergovernmental Organization,Regional,,CSCE,,,,Europe,,,1.0,,,,,,,,Conference on Security and Cooperation in Europe (CSCE) is an regional intergovernmental organization based in Europe.
49,IGO_49,United Nations (General),Intergovernmental Organization,,,UN,,,,,United Nations,1.0,,,,,,,UN: United Nations,,This actor refers to any kind of representative to the United Nations and any of its branches.
50,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,Regional,,OSCE,,,,Europe,,1.0,1.0,,,,,,,,Organization for Security and Cooperation in Europe (OSCE) is an international intergovernmental organization.
51,COA_51,Group of Friends UNSG,State Coalition,,,,,,,,,1.0,,,,,,,,,Group of Friends UNSG is an State Coalition actor.
52,CON_52,Ukraine,Country/State,,,,UKR,Ukraine,369.0,Europe,,,,,,61.0,Government of Ukraine,https://ucdp.uu.se/actor/61,Government of Ukraine (2019-),Government of Ukraine (2014-2019) | Government of Ukraine (2019-),Ukraine is a Country/state in Europe.
53,IGO_53,Commonwealth of Independent States,Intergovernmental Organization,Regional,,CIS,,,,Europe,,1.0,1.0,,,,,,,,Commonwealth of Independent States (CIS) is an international intergovernmental organization.
54,CON_54,Uzbekistan,Country/State,,,,UZB,Uzbekistan,704.0,Asia,,,,,,133.0,Government of Uzbekistan,https://ucdp.uu.se/actor/133,Government of Uzbekistan (2016-),,Uzbekistan is a Country/state in Asia.
55,CON_55,Kyrgyzstan,Country/State,,,,KGZ,Kyrgyzstan,703.0,Asia,,,,,,132.0,Government of Kyrgyzstan,https://ucdp.uu.se/actor/132,Government of Kyrgyzstan (2017-2020),,Kyrgyzstan is a Country/state in Asia.
