actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc,alternative_names
0,CON_0,Bosnia and Herzegovina,Country/State,,,,BIH,Bosnia and Herzegovina,346.0,Europe,,,,,,50.0,Government of Bosnia-Herzegovina,https://ucdp.uu.se/actor/50,Government of Bosnia and Herzegovina (2018-),,Bosnia and Herzegovina is a Country/state in Europe.,Bosnia-Herzegovina | BOSNIA AND HERZEGOVINA | Bosnia Herzegovina | Republic of Bosnia and Herzegovina | Bosnia | Bosniak | Bosnian Croats | Bosnian Serb Civilian | Federation Bosnia | Federation Bosnia Herzegovina | Federation Bosnia Herzegovina Drago BILANDZIJA | Federation Bosnia Herzegovina : A. IZETBEGOVIC | Republic Bosnia | Republic Bosnia - Herzegovina | Republic Bosnia Herzegovina | Republic Federation Bosnia Herzegovina ] | BIH | Government Republic Bosnia Herzegovina | Herzegovina | Republics Bosnia Herzegovina
1,CON_1,Croatia,Country/State,,,,HRV,Croatia,344.0,Europe,,,,,,48.0,Government of Croatia,https://ucdp.uu.se/actor/48,Government of Croatia (2016-),,Croatia is a Country/state in Europe.,Croatia | Croat | Republic Croatia | Republic Croatia : | Republic Croatia DR | Defence Government Republic Croatia | : Government Republic Croatia- | Office Government Republic Croatia Transitional Administration | Republika Hrvatska | HRV
2,CON_2,Germany,Country/State,,,,DEU,Germany,255.0,Europe,,,,,,37.0,Government of Germany,https://ucdp.uu.se/actor/37,Government of Germany (2021-),Government of Germany (2005-2021) | Government of Germany (2021-),Germany is a Country/state in Europe.,Germany (Prussia) | GERMANY | Federal Republic Germany | Republic Germany | Federal Republic of Germany | German Foreign Ministry | Bundesrepublik Deutschland
3,CON_3,United States,Country/State,,,,USA,United States,2.0,Americas,P5,,,,,3.0,Government of United States of America,https://ucdp.uu.se/actor/3,Government of the United States (2021-),Government of the United States (2017-2021) | Government of the United States (2021-),United States is a Country/state in Americas. They are a permanent member of the UN Security Council.,United States of America | UNITED STATES | America | U.S. | U.S.A | United States  Islamic Emirate | United States America | UNITED STATES AMERICA ANGOLA  ANDREEV SERGUEI VADIMOVICH  AMBASSADOR | United States Presidential Special Envoy Promotion Democracy | USA | US
4,CON_4,Spain,Country/State,,,,ESP,Spain,230.0,Europe,,,,,,35.0,Government of Spain,https://ucdp.uu.se/actor/35,Government of Spain (2020-),,Spain is a Country/state in Europe.,Spain | Kingdom Spain | Reino de España | España | Spanish
5,IGO_5,European Union,Intergovernmental Organization,Regional,,EU,,,,Europe,,,1.0,,,,,,,,European Union None is an regional intergovernmental organization based in Europe.,EU | The European Union | European Union | EU Admininstrator | EU Monitoring Mission | EU Special Representative | European Union - MAMADOU KANE | European Union Canada Mediator | European Union Delegation European Commission | European Union League Arab States | European Union Representative | European Union Co - Chair | European Union External Action Service | European Union Foreign Affairs | European Union Foreign Affairs Security | European Union High Representative | European Union High Representative Foreign Affairs & Security | European Union Special Negotiator | European Unions | EU Presidency | EU Administrator | Local Presidency of the European Union | Union Europeene | European External Action Service | EU facilitator | European Union High Representative of the Union for Foreign Affairs and Security Policy | UE | EU Special Envoy | Presidency of the EU | EU Special Representative for the Great Lakes Region | European Union (EU) | European Union  - MAMADOU KANE | Unión Europea
6,CON_6,Central African Republic,Country/State,,,,CAF,Central African Republic,482.0,Africa,,,,,,86.0,Government of Central African Republic,https://ucdp.uu.se/actor/86,Government of the Central African Republic (2016-),Government of the Central African Republic (2003-2013) | Government of the Central African Republic (2014-2016) | Government of the Central African Republic (2016-) | Government of the Central African Republic (1993-2003),Central African Republic is a Country/state in Africa.,Central African Republic | CAR | CAR Government - Jean WILLYBIRO SAKO | Central African Republic Basile Ikouebe | Central African Republic Excellency | Central African Republic Head | Central African Republic : | Central African Republic : Excellency Mr Felix - Ange | Republic Central African Republic | Central African Government | Central African Republic  Basile Ikouebe | Central African Republic  Excellency | Central African Republic  Head
7,CON_7,France,Country/State,,,,FRA,France,220.0,Europe,P5,,,,,33.0,Government of France,https://ucdp.uu.se/actor/33,Government of France (2017-),Government of France (2017-) | Government of France (2017-) French Guiana | Government of France (2017-) Guadeloupe | Government of France (2017-) Martinique | Government of France (2017-) Saint-Barthelemy | Government of France (2017-) Saint-Martin,France is a Country/state in Europe. They are a permanent member of the UN Security Council.,FRANCE | French Republic | French Republic Mr | French Republic : | French Republic Representative | Permanent Representatives France | Republic France | Republic of France
8,IGO_8,UN Security Council,Intergovernmental Organization,,,UNSC,,,,,United Nations,1.0,,,,,,,,,UN Security Council None is an office of the United Nations.,Un Security Council | United Nations Security Council | UNSC | U.N. Security Council | UN Security Council Resolution | UN Security General
9,CON_9,Argentina,Country/State,,,,ARG,Argentina,160.0,Americas,,,,,,26.0,Government of Argentina,https://ucdp.uu.se/actor/26,Government of Argentina (2019-),Government of Argentina (2015-2019) | Government of Argentina (2019-),Argentina is a Country/state in Americas.,Argentina | Argentine Delegations | Argentine Republic | Argentine Republic ] | Republic Argentina  Fernando Henrique Cardoso
