AgtId,name,iso_code,gwno,id,entity,region.name,region_geo,central_longitude,central_latitude,search_pax
431,Argentina,ARG,160.0,11.0,False,Americas,Americas,-65.0715,-35.4958,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=11&match_any_issues=True&name=&text=&signed_after=&signed_before=
295,Papua New Guinea,PNG,910.0,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=111&match_any_issues=True&name=&text=&signed_after=&signed_before=
168,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
589,Nicaragua,NIC,93.0,100.0,False,Americas,Americas,-85.0062,12.93446,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=100&match_any_issues=True&name=&text=&signed_after=&signed_before=
309,Guatemala,GTM,90.0,56.0,False,Americas,Americas,-90.364,15.69724,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=56&match_any_issues=True&name=&text=&signed_after=&signed_before=
887,Costa Rica,CRI,94.0,36.0,False,Americas,Americas,-84.1963,9.972837,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=36&match_any_issues=True&name=&text=&signed_after=&signed_before=
393,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
215,Nicaragua,NIC,93.0,100.0,False,Americas,Americas,-85.0062,12.93446,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=100&match_any_issues=True&name=&text=&signed_after=&signed_before=
366,Nicaragua,NIC,93.0,100.0,False,Americas,Americas,-85.0062,12.93446,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=100&match_any_issues=True&name=&text=&signed_after=&signed_before=
375,Nicaragua,NIC,93.0,100.0,False,Americas,Americas,-85.0062,12.93446,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=100&match_any_issues=True&name=&text=&signed_after=&signed_before=
264,Yemen,YEM,678.0,148.0,False,Middle East and North Africa,Asia,47.59395,15.90521,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=148&match_any_issues=True&name=&text=&signed_after=&signed_before=
395,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
387,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
578,Nicaragua,NIC,93.0,100.0,False,Americas,Americas,-85.0062,12.93446,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=100&match_any_issues=True&name=&text=&signed_after=&signed_before=
704,Guatemala,GTM,90.0,56.0,False,Americas,Americas,-90.364,15.69724,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=56&match_any_issues=True&name=&text=&signed_after=&signed_before=
1247,Morocco,MAR,600.0,90.0,False,Middle East and North Africa,Africa,-5.0,32.0,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=90&match_any_issues=True&name=&text=&signed_after=&signed_before=
419,Mozambique,MOZ,541.0,91.0,False,Africa (excl MENA),Africa,35.0,-18.25,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=91&match_any_issues=True&name=&text=&signed_after=&signed_before=
265,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
377,Papua New Guinea,PNG,910.0,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=111&match_any_issues=True&name=&text=&signed_after=&signed_before=
490,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
1305,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1306,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1307,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1308,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
920,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1332,Cambodia,KHM,811.0,23.0,False,Asia and Pacific,Asia,104.9112,12.70904,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=23&match_any_issues=True&name=&text=&signed_after=&signed_before=
1887,France,FRA,220.0,52.0,False,Europe and Eurasia,Europe,2.55054,46.55942,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=52&match_any_issues=True&name=&text=&signed_after=&signed_before=
1097,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1088,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1089,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1017,Papua New Guinea,PNG,910.0,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=111&match_any_issues=True&name=&text=&signed_after=&signed_before=
1090,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1099,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1272,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
635,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1565,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1309,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1310,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1311,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
634,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
256,Mozambique,MOZ,541.0,91.0,False,Africa (excl MENA),Africa,35.0,-18.25,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=91&match_any_issues=True&name=&text=&signed_after=&signed_before=
633,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1095,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1094,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
206,Mali,MLI,432.0,82.0,False,Africa (excl MENA),Africa,-3.52047,17.36297,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=82&match_any_issues=True&name=&text=&signed_after=&signed_before=
1091,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
570,Papua New Guinea,PNG,910.0,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=111&match_any_issues=True&name=&text=&signed_after=&signed_before=
152,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1096,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
220,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
1092,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
348,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
1041,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
149,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1093,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1242,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1098,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1720,Senegal,SEN,433.0,118.0,False,Africa (excl MENA),Africa,-14.4593,14.36303,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=118&match_any_issues=True&name=&text=&signed_after=&signed_before=
538,Iraq,IRQ,645.0,64.0,False,Middle East and North Africa,Asia,43.77717,33.03897,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=64&match_any_issues=True&name=&text=&signed_after=&signed_before=
1522,India,IND,750.0,62.0,False,Asia and Pacific,Asia,79.44333,23.37938,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=62&match_any_issues=True&name=&text=&signed_after=&signed_before=
1523,India,IND,750.0,62.0,False,Asia and Pacific,Asia,79.44333,23.37938,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=62&match_any_issues=True&name=&text=&signed_after=&signed_before=
1312,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
255,Guatemala,GTM,90.0,56.0,False,Americas,Americas,-90.364,15.69724,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=56&match_any_issues=True&name=&text=&signed_after=&signed_before=
289,Guatemala,GTM,90.0,56.0,False,Americas,Americas,-90.364,15.69724,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=56&match_any_issues=True&name=&text=&signed_after=&signed_before=
456,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
118,Morocco,MAR,600.0,90.0,False,Middle East and North Africa,Africa,-5.0,32.0,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=90&match_any_issues=True&name=&text=&signed_after=&signed_before=
1740,China,CHN,710.0,30.0,False,Asia and Pacific,Asia,103.93,36.56735,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=30&match_any_issues=True&name=&text=&signed_after=&signed_before=
1248,Namibia,NAM,565.0,96.0,False,Africa (excl MENA),Africa,17.2215,-22.139,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=96&match_any_issues=True&name=&text=&signed_after=&signed_before=
158,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1018,Lebanon,LBN,660.0,74.0,False,Middle East and North Africa,Asia,35.89343,33.92145,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=74&match_any_issues=True&name=&text=&signed_after=&signed_before=
151,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
46,Mozambique,MOZ,541.0,91.0,False,Africa (excl MENA),Africa,35.0,-18.25,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=91&match_any_issues=True&name=&text=&signed_after=&signed_before=
207,Angola,AGO,540.0,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=
1316,Angola,AGO,540.0,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=
1319,Angola,AGO,540.0,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=
1317,Angola,AGO,540.0,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=
166,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1100,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
