AgtId,name,iso_code,gwno,id,entity,region.name,region_geo,central_longitude,central_latitude
431,Argentina,ARG,160,11.0,False,Americas,Americas,-65.0715,-35.4958
295,Papua New Guinea,PNG,910,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559
168,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
589,Nicaragua,NIC,93,100.0,False,Americas,Americas,-85.0062,12.93446
309,Guatemala,GTM,90,56.0,False,Americas,Americas,-90.364,15.69724
887,Costa Rica,CRI,94,36.0,False,Americas,Americas,-84.1963,9.972837
393,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
215,Nicaragua,NIC,93,100.0,False,Americas,Americas,-85.0062,12.93446
366,Nicaragua,NIC,93,100.0,False,Americas,Americas,-85.0062,12.93446
375,Nicaragua,NIC,93,100.0,False,Americas,Americas,-85.0062,12.93446
264,Yemen,YEM,678,148.0,False,Middle East and North Africa,Asia,47.59395,15.90521
395,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
387,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
578,Nicaragua,NIC,93,100.0,False,Americas,Americas,-85.0062,12.93446
704,Guatemala,GTM,90,56.0,False,Americas,Americas,-90.364,15.69724
1247,Morocco,MAR,600,90.0,False,Middle East and North Africa,Africa,-5.0,32.0
419,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
265,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
377,Papua New Guinea,PNG,910,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559
490,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1305,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1306,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1307,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1308,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
920,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1332,Cambodia,KHM,811,23.0,False,Asia and Pacific,Asia,104.9112,12.70904
1887,France,FRA,220,52.0,False,Europe and Eurasia,Europe,2.55054,46.55942
1097,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1088,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1089,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1017,Papua New Guinea,PNG,910,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559
1090,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1099,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1272,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
635,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1565,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1309,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1310,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1311,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
634,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
256,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
633,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1095,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1094,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
206,Mali,MLI,432,82.0,False,Africa (excl MENA),Africa,-3.52047,17.36297
1091,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
570,Papua New Guinea,PNG,910,111.0,False,Asia and Pacific,Oceania,145.2538,-6.47559
152,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1096,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
220,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1092,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
348,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1041,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
149,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1093,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1242,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1098,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1720,Senegal,SEN,433,118.0,False,Africa (excl MENA),Africa,-14.4593,14.36303
538,Iraq,IRQ,645,64.0,False,Middle East and North Africa,Asia,43.77717,33.03897
1522,India,IND,750,62.0,False,Asia and Pacific,Asia,79.44333,23.37938
1523,India,IND,750,62.0,False,Asia and Pacific,Asia,79.44333,23.37938
1312,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
255,Guatemala,GTM,90,56.0,False,Americas,Americas,-90.364,15.69724
289,Guatemala,GTM,90,56.0,False,Americas,Americas,-90.364,15.69724
456,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
118,Morocco,MAR,600,90.0,False,Middle East and North Africa,Africa,-5.0,32.0
1740,China,CHN,710,30.0,False,Asia and Pacific,Asia,103.93,36.56735
1248,Namibia,NAM,565,96.0,False,Africa (excl MENA),Africa,17.2215,-22.139
158,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1018,Lebanon,LBN,660,74.0,False,Middle East and North Africa,Asia,35.89343,33.92145
151,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
46,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
207,Angola,AGO,540,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937
